index,Ring Structure,中文名称,name,smiles,分子量,priority,SMARTs
91,PYRAZOLEs3s5,,,,,0,[cH1]:[cH0;!R2]:[nH1]:n:[cH0;!R2]
92,PYRAZOLEs4s5,,,,,0,[cH0;!R2]:[cH0;!R2]:[nH1]:n:[cH1]
93,PYRAZOLEs1s3s4,,,,,0,[cH0;!R2]:[cH1]:[nH0;R1;r5]:n:[cH0;!R2]
94,PYRAZOLEs1s3s5,,,,,0,[cH1]:[cH0;!R2]:[nH0;R1;r5]:n:[cH0;!R2]
95,PYRAZOLEs1s4s5,,,,,0,[cH0!;R2]:[cH0;!R2]:[nH0;R1;r5]:n:[cH1]
96,PYRAZOLEs3s4s5,,,,,0,[cH0!;R2]:[cH0;!R2]:[nH1]:n:[cH0;!R2]
97,PYRAZOLEs1s3s4s5,,,,,0,[cH0!;R2]:[cH0;!R2]:[nH0;R1;r5]:n:[cH0;!R2]
98,THIAZOLE,噻唑,thiazole,C1=CSC=N1,,0,[cH1]:[cH1]:s:[cH1]:n
99,THIAZOLEs2,,,,,0,[cH1]:[cH1]:s:[cH0]:n
100,THIAZOLEs4,,,,,0,[cH0]:[cH1]:s:[cH1]:n
101,THIAZOLEs5,,,,,0,[cH1]:[cH0]:s:[cH1]:n
102,THIAZOLEs2s4,,,,,0,[cH0]:[cH1]:s:[cH0]:n
103,THIAZOLEs2s5,,,,,0,[cH1]:[cH0]:s:[cH0]:n
104,THIAZOLEs4s5,,,,,0,[cH0;!R2]:[cH0;!R2]:s:[cH1]:n
105,THIAZOLEs2s4s5,,,,,0,[cH0;!R2]:[cH0;!R2]:s:[cH0]:n
106,IMIDAZOLE,咪唑,imidazole,C1=CN=CN1,68,0,[cH1]:[cH1]:n:[cH1]:[nH1]
107,IMIDAZOLEs1,,,,,0,[cH1]:[cH1]:n:[cH1]:[nH0]
108,IMIDAZOLEs2,,,,,0,[cH1]:[cH1]:n:[cH0]:[nH1]
109,IMIDAZOLEs4,,,,,0,[cH1]:[cH0]:n:[cH1]:[nH1]
110,IMIDAZOLEs5,,,,,0,[cH0]:[cH1]:n:[cH1]:[nH1]
111,IMIDAZOLEs1s2,,,,,0,[cH1]:[cH1]:n:[cH0;!R2]:[nH0;!R2;r5]
112,IMIDAZOLEs1s4,,,,,0,[cH1]:[cH0]:n:[cH1]:[nH0;!R2;r5]
113,IMIDAZOLEs1s5,,,,,0,[cH0;!R2]:[cH1]:n:[cH1]:[nH0;!R2;r5]
114,IMIDAZOLEs2s4,,,,,0,[cH1]:[cH0]:n:[cH0]:[nH1]
115,IMIDAZOLEs2s5,,,,,0,[cH0]:[cH1]:n:[cH0]:[nH1]
116,IMIDAZOLEs4s5,,,,,0,[cH0]:[cH0]:n:[cH1]:[nH1]
117,IMIDAZOLEs1s2s4,,,,,0,[cH1]:[cH0]:n:[cH0;!R2]:[nH0;!R2;r5]
118,IMIDAZOLEs1s2s5,,,,,0,[cH0;!R2]:[cH1]:n:[cH0;!R2]:[nH0;!R2;r5]
119,IMIDAZOLEs1s4s5,,,,,0,[cH0;!R2]:[cH0;!R2]:n:[cH1]:[nH0;!R2;r5]
120,IMIDAZOLEs2s4s5,,,,,0,[cH0;!R2]:[cH0;!R2]:n:[cH0]:[nH1]
121,IMIDAZOLEs1s2s4s5,,,,,0,[cH0;!R2]:[cH0;!R2]:n:[cH0;!R2]:[nH0;!R2;r5]
122,PYRIDAZINE,哒嗪,pyridazine,C1=CC=NN=C1,,0,[cH1]:[cH1]:[cH1]:n:n:[cH1]
123,PYRIDAZINEs3,,,,,0,[cH1]:[cH1]:[cH0]:n:n:[cH1]
124,PYRIDAZINEs4,,,,,0,[cH1]:[cH0]:[cH1]:n:n:[cH1]
125,PYRIDAZINEs5,,,,,0,[cH0]:[cH1]:[cH1]:n:n:[cH1]
126,PYRIDAZINEs6,,,,,0,[cH1]:[cH1]:[cH1]:n:n:[cH0]
127,PYRIDAZINEs3s4,,,,,0,[cH1]:[cH0;!R2]:[cH0;!R2]:n:n:[cH1]
128,PYRIDAZINEs3s5,,,,,0,[cH0]:[cH1]:[cH0]:n:n:[cH1]
129,PYRIDAZINEs3s6,,,,,0,[cH1]:[cH1]:[cH0]:n:n:[cH0]
130,PYRIDAZINEs4s5,,,,,0,[cH0;!R2]:[cH0;!R2]:[cH1]:n:n:[cH1]
131,PYRIDAZINEs4s6,,,,,0,[cH1]:[cH0]:[cH1]:n:n:[cH0]
132,PYRIDAZINEs5s6,,,,,0,[cH0;!R2]:[cH0]:[cH1]:n:n:[cH0;!R2]
133,PYRIDAZINEs3s4s5,,,,,0,[cH0;!R2]:[cH0;!R2]:[cH0;!R2]:n:n:[cH1]
134,PYRIDAZINEs3s4s6,,,,,0,[cH1]:[cH0;!R2]:[cH0;!R2]:n:n:[cH0]
135,PYRIDAZINEs4s5s6,,,,,0,[cH0;!R2]:[cH0;!R2]:[cH1]:n:n:[cH0;!R2]
136,PYRIDAZINEs3s4s5s6,,,,,0,[cH0;!R2]:[cH0;!R2]:[cH0;!R2]:n:n:[cH0;!R2]
137,PYRIMIDINE,嘧啶,pyrimidine,C1=CN=CN=C1,,0,[cH1]:[cH1]:n:[cH1]:n:[cH1]
138,PYRIMIDINEs2,,,,,0,[cH1]:[cH1]:n:[cH0]:n:[cH1]
139,PYRIMIDINEs4,,,,,0,[cH1]:[cH0]:n:[cH1]:n:[cH1]
140,PYRIMIDINEs5,,,,,0,[cH0]:[cH1]:n:[cH1]:n:[cH1]
141,PYRIMIDINEs6,,,,,0,[cH1]:[cH1]:n:[cH1]:n:[cH0]
142,PYRIMIDINEs2s4,,,,,0,[cH1]:[cH0]:n:[cH0]:n:[cH1]
143,PYRIMIDINEs2s5,,,,,0,[cH0]:[cH1]:n:[cH0]:n:[cH1]
144,PYRIMIDINEs2s6,,,,,0,[cH1]:[cH1]:n:[cH0]:n:[cH0]
145,PYRIMIDINEs4s5,,,,,0,[cH0;!R2]:[cH0;!R2]:n:[cH1]:n:[cH1]
146,PYRIMIDINEs4s6,,,,,0,[cH1]:[cH0]:n:[cH1]:n:[cH0]
147,PYRIMIDINEs5s6,,,,,0,[cH0;!R2]:[cH1]:n:[cH1]:n:[cH0;!R2]
148,PYRIMIDINEs2s4s5,,,,,0,[cH0;!R2]:[cH0;!R2]:n:[cH0]:n:[cH1]
149,PYRIMIDINEs2s4s6,,,,,0,[cH1]:[cH0]:n:[cH0]:n:[cH0]
150,PYRIMIDINEs2s5s6,,,,,0,[cH0;!R2]:[cH1]:n:[cH0]:n:[cH0;!R2]
151,PYRIMIDINEs4s5s6,,,,,0,[cH0;!R2]:[cH0;!R2]:n:[cH1]:n:[cH0;!R2]
152,PYRIMIDINEss2s4s5s6,,,,,0,[cH0;!R2]:[cH0;!R2]:n:[cH0]:n:[cH0;!R2]
153,PYRAZINE,吡嗪,pyrazine,C1=CN=CC=N1,,0,[cH1]:[cH1]:n:[cH1]:[cH1]:n
154,PYRAZINEs2,,,,,0,[cH1]:[cH1]:n:[cH1]:[cH0]:n
