,,,index,comp1,comp2,P,a,a12,b12,a21,b21,comp1_antoine1,comp1_antoine2,comp1_antoine5,comp1_antoine6,comp1_antoine7,comp2_antoine1,comp2_antoine2,comp2_antoine5,comp2_antoine6,comp2_antoine7
1-propanol,1-pentanol,0,43,1-propanol,1-pentanol,101300,0.3,0.7174,88.139,-0.7344,-4.503,73.15107454,-8307.2,-8.5767,7.51E-18,6,103.2370745,-10643,-12.858,1.25E-17,6
1-propanol,benzene,1,44,1-propanol,benzene,101300,0.3,1.6262,-462.1943,-3.8213,1804.0237,73.15107454,-8307.2,-8.5767,7.51E-18,6,71.59407454,-6486.2,-9.2194,6.98E-06,2
1-propanol,toluene,1,45,1-propanol,toluene,101300,0.3,5.4034,-1696.1053,-8.9671,3572.9919,73.15107454,-8307.2,-8.5767,7.51E-18,6,65.43207454,-6729.8,-8.179,5.30E-06,2
1-propanol,acetone,0,46,1-propanol,acetone,101300,0.3,0,-412.3246,0,688.2386,73.15107454,-8307.2,-8.5767,7.51E-18,6,46.43407454,-5355.3,-5.2106,1.24E-14,5
1-propanol,ethyl-formate,0,47,1-propanol,ethyl-formate,101300,0.3,0,174.6687,0,170.8871,73.15107454,-8307.2,-8.5767,7.51E-18,6,62.32007454,-5817,-7.809,6.32E-06,2
1-propanol,methyl-acetate,0,48,1-propanol,methyl-acetate,101300,0.3,3.6145,-1222.1595,-5.4978,2150.9785,73.15107454,-8307.2,-8.5767,7.51E-18,6,49.75407454,-5618.6,-5.6473,2.11E-17,6
1-propanol,ethyl-acetate,0,49,1-propanol,ethyl-acetate,101300,0.3,1.505,-467.9359,-3.5538,1442.297,73.15107454,-8307.2,-8.5767,7.51E-18,6,55.31107454,-6227.6,-6.41,1.79E-17,6
1-propanol,12-propanediol,0,50,1-propanol,12-propanediol,101300,0.3,-6.3351,3213.8396,2.1654,-1171.3539,73.15107454,-8307.2,-8.5767,7.51E-18,6,123.9770745,-12483,-16.019,6.46E-06,2
isopropanol,n-butanol,0,51,isopropanol,n-butanol,101300,0.3,0,203.7506,0,-193.7435,99.20707454,-9040,-12.676,5.54E-06,2,94.77707454,-9866.4,-11.655,1.08E-17,6
isopropanol,2-butanol,0,52,isopropanol,2-butanol,101300,0.3,0,60.1787,0,-22.1572,99.20707454,-9040,-12.676,5.54E-06,2,111.0370745,-10236,-14.125,2.36E-17,6
