,,,index,comp1,comp2,P,a,a12,b12,a21,b21,comp1_antoine1,comp1_antoine2,comp1_antoine5,comp1_antoine6,comp1_antoine7,comp2_antoine1,comp2_antoine2,comp2_antoine5,comp2_antoine6,comp2_antoine7
n-butyl-acetate,n-butyl-formate,0,252,isobutanol,n-butyl-formate,101300,0.3,0,-343.8023,0,736.4386,110.2670745,-10504,-13.921,1.69E-17,6,104.0270745,-7907,-14.945,0.014711,1
n-butyl-propionate,n-butyl-formate,0,253,n-butyl-acetate,n-butyl-formate,101300,0.3,0,625.3924,0,-413.9885,111.3070745,-9253.2,-14.99,1.05E-05,2,104.0270745,-7907,-14.945,0.014711,1
methanol,vinyl-acetate,1,254,n-butyl-propionate,n-butyl-formate,101300,0.3,0,-278.8624,0,317.9871,59.71507454,-7709.8,-6.8418,6.36E-18,6,104.0270745,-7907,-14.945,0.014711,1
ethanol,vinyl-acetate,1,255,methanol,vinyl-acetate,101300,0.3,0,400.7764,0,75.786,71.20507454,-6904.5,-8.8622,7.47E-06,2,45.89307454,-5702.8,-5.0307,1.10E-17,6
benzene,vinyl-acetate,0,256,ethanol,vinyl-acetate,101300,0.3,24.1664,-7694.918,-29.076,9801.1328,61.79107454,-7122.3,-7.1424,2.89E-06,2,45.89307454,-5702.8,-5.0307,1.10E-17,6
toluene,vinyl-acetate,0,257,benzene,vinyl-acetate,101300,0.3,0,275.1388,0,-139.6372,71.59407454,-6486.2,-9.2194,6.98E-06,2,45.89307454,-5702.8,-5.0307,1.10E-17,6
acetone,vinyl-acetate,0,258,toluene,vinyl-acetate,101300,0.3,0,115.2677,0,-19.9285,65.43207454,-6729.8,-8.179,5.30E-06,2,45.89307454,-5702.8,-5.0307,1.10E-17,6
methyl-acetate,vinyl-acetate,0,259,acetone,vinyl-acetate,101300,0.3,5.9123,-1960.4207,-8.6892,2933.854,46.43407454,-5355.3,-5.2106,1.24E-14,5,45.89307454,-5702.8,-5.0307,1.10E-17,6
cyclohexane,vinyl-acetate,1,260,methyl-acetate,vinyl-acetate,101300,0.3,0,-244.5883,0,317.1376,49.75407454,-5618.6,-5.6473,2.11E-17,6,45.89307454,-5702.8,-5.0307,1.10E-17,6
methyl-ethyl-ketone,vinyl-acetate,0,261,cyclohexane,vinyl-acetate,101300,0.3,0,316.53,0,131.6117,39.57407454,-5226.4,-4.2278,9.76E-18,6,45.89307454,-5702.8,-5.0307,1.10E-17,6
methanol,cyclohexene,1,262,methyl-ethyl-ketone,vinyl-acetate,101300,0.3,0,-94.6012,0,64.1499,73.01707454,-6787.2,-9.2336,9.09E-09,3,45.89307454,-5702.8,-5.0307,1.10E-17,6
cyclohexane,cyclohexene,0,263,methanol,cyclohexene,101300,0.47,-1.0394,985.8453,-1.6332,1335.6967,71.20507454,-6904.5,-8.8622,7.47E-06,2,76.67107454,-6624.9,-10.059,8.26E-06,2
methyl-ethyl-ketone,cyclohexene,1,264,cyclohexane,cyclohexene,101300,0.3,0,-222.0068,0,279.768,39.57407454,-5226.4,-4.2278,9.76E-18,6,76.67107454,-6624.9,-10.059,8.26E-06,2
benzene,cyclohexene,1,265,methyl-ethyl-ketone,cyclohexene,101300,0.3,0,-31.3229,0,425.9535,73.01707454,-6787.2,-9.2336,9.09E-09,3,76.67107454,-6624.9,-10.059,8.26E-06,2
methanol,diethyl-ether,1,266,benzene,cyclohexene,101300,0.3,0.0639,73.68,-0.3177,84.6806,71.59407454,-6486.2,-9.2194,6.98E-06,2,76.67107454,-6624.9,-10.059,8.26E-06,2
ethanol,diethyl-ether,0,267,methanol,diethyl-ether,101300,0.3,7.0779,-1999.4722,-5.2556,1893.486,71.20507454,-6904.5,-8.8622,7.47E-06,2,125.3870745,-6954.3,-19.254,0.024508,1
ethyl-acetate,diethyl-ether,0,268,ethanol,diethyl-ether,101300,0.3,11.7467,-3421.4375,-11.2837,3706.99,61.79107454,-7122.3,-7.1424,2.89E-06,2,125.3870745,-6954.3,-19.254,0.024508,1
cyclohexane,diethyl-ether,0,269,ethyl-acetate,diethyl-ether,101300,0.3,0,211.0805,0,-167.6335,55.31107454,-6227.6,-6.41,1.79E-17,6,125.3870745,-6954.3,-19.254,0.024508,1
acetone,diethyl-ether,0,270,cyclohexane,diethyl-ether,101300,0.3,0,85.0007,0,19.3546,39.57407454,-5226.4,-4.2278,9.76E-18,6,125.3870745,-6954.3,-19.254,0.024508,1
benzene,diethyl-ether,0,271,acetone,diethyl-ether,101300,0.3,0,28.8811,0,198.3507,46.43407454,-5355.3,-5.2106,1.24E-14,5,125.3870745,-6954.3,-19.254,0.024508,1
toluene,diethyl-ether,0,272,benzene,diethyl-ether,101300,0.3,-0.4759,27.468,0.0576,94.4718,71.59407454,-6486.2,-9.2194,6.98E-06,2,125.3870745,-6954.3,-19.254,0.024508,1
isobutanol,o-xylene,1,273,toluene,diethyl-ether,101300,0.3,-8.6709,2839.9783,14.6029,-4668.8267,65.43207454,-6729.8,-8.179,5.30E-06,2,125.3870745,-6954.3,-19.254,0.024508,1
cyclohexane,o-xylene,0,274,isobutanol,o-xylene,101300,0.3,0,263.658,0,214.3349,110.2670745,-10504,-13.921,1.69E-17,6,78.89207454,-7955.2,-10.086,5.96E-06,2
acetone,o-xylene,0,275,cyclohexane,o-xylene,101300,0.3,0,246.1033,0,-66.5544,39.57407454,-5226.4,-4.2278,9.76E-18,6,78.89207454,-7955.2,-10.086,5.96E-06,2
methanol,p-xylene,0,276,acetone,o-xylene,101300,0.3,0,73.2161,0,175.0858,46.43407454,-5355.3,-5.2106,1.24E-14,5,78.89207454,-7955.2,-10.086,5.96E-06,2
ethanol,p-xylene,0,277,methanol,p-xylene,101300,0.47,0.6776,295.535,-3.2587,1677.6208,71.20507454,-6904.5,-8.8622,7.47E-06,2,77.20707454,-7741.2,-9.8693,6.08E-06,2
1-propanol,p-xylene,1,278,ethanol,p-xylene,101300,0.3,4.0754,-1202.4324,-5.6391,2504.2007,61.79107454,-7122.3,-7.1424,2.89E-06,2,77.20707454,-7741.2,-9.8693,6.08E-06,2
isopropanol,p-xylene,0,279,1-propanol,p-xylene,101300,0.3,1.3283,-254.2932,-3.0779,1493.8376,73.15107454,-8307.2,-8.5767,7.51E-18,6,77.20707454,-7741.2,-9.8693,6.08E-06,2
n-butanol,p-xylene,1,280,isopropanol,p-xylene,101300,0.3,0,323.5591,0,225.2098,99.20707454,-9040,-12.676,5.54E-06,2,77.20707454,-7741.2,-9.8693,6.08E-06,2
2-butanol,p-xylene,0,281,n-butanol,p-xylene,101300,0.3,1.6686,-523.4258,-4.2202,2007.7697,94.77707454,-9866.4,-11.655,1.08E-17,6,77.20707454,-7741.2,-9.8693,6.08E-06,2
isobutanol,p-xylene,1,282,2-butanol,p-xylene,101300,0.3,0,85.1734,0,341.84,111.0370745,-10236,-14.125,2.36E-17,6,77.20707454,-7741.2,-9.8693,6.08E-06,2
1-pentanol,p-xylene,1,283,isobutanol,p-xylene,101300,0.3,0,194.7522,0,432.9783,110.2670745,-10504,-13.921,1.69E-17,6,77.20707454,-7741.2,-9.8693,6.08E-06,2
1-hexanol,p-xylene,1,284,1-pentanol,p-xylene,101300,0.3,0,5.0199,0,395.1774,103.2370745,-10643,-12.858,1.25E-17,6,77.20707454,-7741.2,-9.8693,6.08E-06,2
cyclohexanol,p-xylene,1,285,1-hexanol,p-xylene,101300,0.3,0,44.9142,0,297.7951,123.9070745,-12288,-15.732,1.27E-17,6,77.20707454,-7741.2,-9.8693,6.08E-06,2
ethyl-acetate,p-xylene,0,286,cyclohexanol,p-xylene,101300,0.3,0,124.1077,0,362.3791,177.6770745,-14337,-24.148,1.07E-05,2,77.20707454,-7741.2,-9.8693,6.08E-06,2
cyclohexane,p-xylene,0,287,ethyl-acetate,p-xylene,101300,0.3,-2.7518,1226.5284,3.1125,-1176.9607,55.31107454,-6227.6,-6.41,1.79E-17,6,77.20707454,-7741.2,-9.8693,6.08E-06,2
cyclohexene,p-xylene,0,288,cyclohexane,p-xylene,101300,0.3,0,88.0175,0,28.3355,39.57407454,-5226.4,-4.2278,9.76E-18,6,77.20707454,-7741.2,-9.8693,6.08E-06,2
acetone,p-xylene,0,289,cyclohexene,p-xylene,101300,0.3,-2.9615,878.6248,4.6548,-1290.4314,76.67107454,-6624.9,-10.059,8.26E-06,2,77.20707454,-7741.2,-9.8693,6.08E-06,2
methyl-ethyl-ketone,p-xylene,0,290,acetone,p-xylene,101300,0.3,0,83.2016,0,173.645,46.43407454,-5355.3,-5.2106,1.24E-14,5,77.20707454,-7741.2,-9.8693,6.08E-06,2
methyl-isobutyl-ketone,p-xylene,0,291,methyl-ethyl-ketone,p-xylene,101300,0.3,0,27.3532,0,111.3993,73.01707454,-6787.2,-9.2336,9.09E-09,3,77.20707454,-7741.2,-9.8693,6.08E-06,2
benzene,p-xylene,0,292,methyl-isobutyl-ketone,p-xylene,101300,0.3,-5.2672,2606.7017,2.7461,-1335.1536,83.35707454,-7917.5,-10.643,8.07E-09,3,77.20707454,-7741.2,-9.8693,6.08E-06,2
toluene,p-xylene,0,293,benzene,p-xylene,101300,0.3,0,122.6854,0,-136.4814,71.59407454,-6486.2,-9.2194,6.98E-06,2,77.20707454,-7741.2,-9.8693,6.08E-06,2
methanol,m-xylene,0,294,toluene,p-xylene,101300,0.3,0,-91.1458,0,75.8978,65.43207454,-6729.8,-8.179,5.30E-06,2,77.20707454,-7741.2,-9.8693,6.08E-06,2
1-propanol,m-xylene,1,295,methanol,m-xylene,101300,0.3,0,443.781,0,417.3804,71.20507454,-6904.5,-8.8622,7.47E-06,2,73.58607454,-7615.9,-9.3072,5.56E-06,2
isopropanol,m-xylene,0,296,1-propanol,m-xylene,101300,0.3,0,259.5868,0,336.7956,73.15107454,-8307.2,-8.5767,7.51E-18,6,73.58607454,-7615.9,-9.3072,5.56E-06,2
2-butanol,m-xylene,0,297,isopropanol,m-xylene,101300,0.3,0,274.9677,0,322.8217,99.20707454,-9040,-12.676,5.54E-06,2,73.58607454,-7615.9,-9.3072,5.56E-06,2
cyclohexanol,m-xylene,1,298,2-butanol,m-xylene,101300,0.3,0,154.1349,0,246.9109,111.0370745,-10236,-14.125,2.36E-17,6,73.58607454,-7615.9,-9.3072,5.56E-06,2
n-propyl-acetate,m-xylene,0,299,cyclohexanol,m-xylene,101300,0.3,0,130.4166,0,346.0771,177.6770745,-14337,-24.148,1.07E-05,2,73.58607454,-7615.9,-9.3072,5.56E-06,2
isopropyl-acetate,m-xylene,0,300,n-propyl-acetate,m-xylene,101300,0.3,0,314.3589,0,-135.4627,103.6470745,-8433.9,-13.934,1.03E-05,2,73.58607454,-7615.9,-9.3072,5.56E-06,2
cyclohexane,m-xylene,0,301,isopropyl-acetate,m-xylene,101300,0.3,0,-96.7379,0,337.4994,38.24107454,-5563.9,-3.8789,2.48E-18,6,73.58607454,-7615.9,-9.3072,5.56E-06,2
cyclohexene,m-xylene,0,302,cyclohexane,m-xylene,101300,0.3,0,166.5652,0,-36.3191,39.57407454,-5226.4,-4.2278,9.76E-18,6,73.58607454,-7615.9,-9.3072,5.56E-06,2
benzene,m-xylene,0,303,cyclohexene,m-xylene,101300,0.3,0,490.2761,0,-280.773,76.67107454,-6624.9,-10.059,8.26E-06,2,73.58607454,-7615.9,-9.3072,5.56E-06,2
toluene,m-xylene,0,304,benzene,m-xylene,101300,0.3,0,-115.539,0,140.4452,71.59407454,-6486.2,-9.2194,6.98E-06,2,73.58607454,-7615.9,-9.3072,5.56E-06,2
o-xylene,m-xylene,0,305,toluene,m-xylene,101300,0.3,0,-196.441,0,376.4365,65.43207454,-6729.8,-8.179,5.30E-06,2,73.58607454,-7615.9,-9.3072,5.56E-06,2
p-xylene,m-xylene,0,306,o-xylene,m-xylene,101300,0.3,0,337.279,0,-248.9737,78.89207454,-7955.2,-10.086,5.96E-06,2,73.58607454,-7615.9,-9.3072,5.56E-06,2
1-hexanol,1-heptanol,1,307,p-xylene,m-xylene,101300,0.3,0,-3.869,0,4.6301,77.20707454,-7741.2,-9.8693,6.08E-06,2,73.58607454,-7615.9,-9.3072,5.56E-06,2
ethanol,ethylbenzene,0,308,1-hexanol,1-heptanol,101300,0.3,0,803.2623,0,-393.8232,123.9070745,-12288,-15.732,1.27E-17,6,135.8970745,-13466,-17.353,1.13E-17,6
1-propanol,ethylbenzene,1,309,ethanol,ethylbenzene,101300,0.3,-17.8493,6715.7251,17.0415,-5731.1948,61.79107454,-7122.3,-7.1424,2.89E-06,2,77.55007454,-7733.7,-9.917,5.99E-06,2
isopropanol,ethylbenzene,0,310,1-propanol,ethylbenzene,101300,0.3,2.2763,-545.1516,-2.4736,1171.257,73.15107454,-8307.2,-8.5767,7.51E-18,6,77.55007454,-7733.7,-9.917,5.99E-06,2
n-butanol,ethylbenzene,1,311,isopropanol,ethylbenzene,101300,0.3,-16.1634,6033.3359,16.0364,-5426.6821,99.20707454,-9040,-12.676,5.54E-06,2,77.55007454,-7733.7,-9.917,5.99E-06,2
isobutanol,ethylbenzene,1,312,n-butanol,ethylbenzene,101300,0.3,1.5422,-399.2642,-3.5609,1653.4806,94.77707454,-9866.4,-11.655,1.08E-17,6,77.55007454,-7733.7,-9.917,5.99E-06,2
tert-butanol,ethylbenzene,0,313,isobutanol,ethylbenzene,101300,0.47,0,454.206675,0,454.206675,110.2670745,-10504,-13.921,1.69E-17,6,77.55007454,-7733.7,-9.917,5.99E-06,2
1-pentanol,ethylbenzene,1,314,tert-butanol,ethylbenzene,101300,0.3,0,91.1125,0,473.5527,160.7570745,-11589,-22.113,1.37E-05,2,77.55007454,-7733.7,-9.917,5.99E-06,2
2-methyl-1-butanol,ethylbenzene,1,315,1-pentanol,ethylbenzene,101300,0.3,0,62.3303,0,319.2068,103.2370745,-10643,-12.858,1.25E-17,6,77.55007454,-7733.7,-9.917,5.99E-06,2
1-hexanol,ethylbenzene,1,316,2-methyl-1-butanol,ethylbenzene,101300,0.3,0,158.9547,0,163.4372,107.7270745,-10738,-13.522,1.43E-17,6,77.55007454,-7733.7,-9.917,5.99E-06,2
methyl-acetate,ethylbenzene,0,317,1-hexanol,ethylbenzene,101300,0.3,0,42.784,0,312.2277,123.9070745,-12288,-15.732,1.27E-17,6,77.55007454,-7733.7,-9.917,5.99E-06,2
ethyl-acetate,ethylbenzene,0,318,methyl-acetate,ethylbenzene,101300,0.3,0.0414,-69.6431,-1.9337,921.4256,49.75407454,-5618.6,-5.6473,2.11E-17,6,77.55007454,-7733.7,-9.917,5.99E-06,2
cyclohexane,ethylbenzene,0,319,ethyl-acetate,ethylbenzene,101300,0.3,0,446.9643,0,-253.685,55.31107454,-6227.6,-6.41,1.79E-17,6,77.55007454,-7733.7,-9.917,5.99E-06,2
acetone,ethylbenzene,0,320,cyclohexane,ethylbenzene,101300,0.3,0,282.247,0,-137.8274,39.57407454,-5226.4,-4.2278,9.76E-18,6,77.55007454,-7733.7,-9.917,5.99E-06,2
methyl-ethyl-ketone,ethylbenzene,0,321,acetone,ethylbenzene,101300,0.3,0,64.7644,0,169.0289,46.43407454,-5355.3,-5.2106,1.24E-14,5,77.55007454,-7733.7,-9.917,5.99E-06,2
benzene,ethylbenzene,0,322,methyl-ethyl-ketone,ethylbenzene,101300,0.3,0,102.4918,0,3.1184,73.01707454,-6787.2,-9.2336,9.09E-09,3,77.55007454,-7733.7,-9.917,5.99E-06,2
toluene,ethylbenzene,0,323,benzene,ethylbenzene,101300,0.3,-1.4701,642.1115,1.1017,-515.4272,71.59407454,-6486.2,-9.2194,6.98E-06,2,77.55007454,-7733.7,-9.917,5.99E-06,2
phenol,ethylbenzene,0,324,toluene,ethylbenzene,101300,0.3,0,-369.4589,0,549.2948,65.43207454,-6729.8,-8.179,5.30E-06,2,77.55007454,-7733.7,-9.917,5.99E-06,2
o-xylene,ethylbenzene,0,325,phenol,ethylbenzene,101300,0.3,0,-85.0085,0,499.0577,83.93107454,-10113,-10.09,6.76E-18,6,77.55007454,-7733.7,-9.917,5.99E-06,2
p-xylene,ethylbenzene,0,326,o-xylene,ethylbenzene,101300,0.3,0,45.46,0,-46.0865,78.89207454,-7955.2,-10.086,5.96E-06,2,77.55007454,-7733.7,-9.917,5.99E-06,2
methanol,dimethyl-sulfoxide,0,327,p-xylene,ethylbenzene,101300,0.3,0,-99.1047,0,124.0066,77.20707454,-7741.2,-9.8693,6.08E-06,2,77.55007454,-7733.7,-9.917,5.99E-06,2
ethanol,dimethyl-sulfoxide,0,328,water,dimethyl-sulfoxide,101300,0.3,-1.2449,586.801,1.7524,-1130.2155,62.13607454,-7258.2,-7.3037,4.17E-06,2,44.76007454,-7620.6,-4.6279,4.38E-07,2
isopropanol,dimethyl-sulfoxide,0,329,methanol,dimethyl-sulfoxide,101300,0.3,0,30.5966,0,-331.1557,71.20507454,-6904.5,-8.8622,7.47E-06,2,44.76007454,-7620.6,-4.6279,4.38E-07,2
n-butanol,dimethyl-sulfoxide,0,330,ethanol,dimethyl-sulfoxide,101300,0.3,0,116.5373,0,-393.3192,61.79107454,-7122.3,-7.1424,2.89E-06,2,44.76007454,-7620.6,-4.6279,4.38E-07,2
isobutanol,dimethyl-sulfoxide,0,331,isopropanol,dimethyl-sulfoxide,101300,0.3,0,115.2787,0,-25.0123,99.20707454,-9040,-12.676,5.54E-06,2,44.76007454,-7620.6,-4.6279,4.38E-07,2
1-pentanol,dimethyl-sulfoxide,0,332,n-butanol,dimethyl-sulfoxide,101300,0.3,0,412.0749,0,-489.2349,94.77707454,-9866.4,-11.655,1.08E-17,6,44.76007454,-7620.6,-4.6279,4.38E-07,2
ethyl-acetate,dimethyl-sulfoxide,0,333,isobutanol,dimethyl-sulfoxide,101300,0.3,0,354.0802,0,-417.0869,110.2670745,-10504,-13.921,1.69E-17,6,44.76007454,-7620.6,-4.6279,4.38E-07,2
ethylene-glycol,dimethyl-sulfoxide,1,334,1-pentanol,dimethyl-sulfoxide,101300,0.3,0,395.439,0,-462.0399,103.2370745,-10643,-12.858,1.25E-17,6,44.76007454,-7620.6,-4.6279,4.38E-07,2
acetone,dimethyl-sulfoxide,0,335,ethyl-acetate,dimethyl-sulfoxide,101300,0.3,0,287.1115,0,127.1164,55.31107454,-6227.6,-6.41,1.79E-17,6,44.76007454,-7620.6,-4.6279,4.38E-07,2
benzene,dimethyl-sulfoxide,0,336,ethylene-glycol,dimethyl-sulfoxide,101300,0.3,0,-407.9908,0,125.2802,80.08107454,-10811,-9.2821,3.02E-18,6,44.76007454,-7620.6,-4.6279,4.38E-07,2
toluene,dimethyl-sulfoxide,0,337,acetone,dimethyl-sulfoxide,101300,0.3,0,167.138,0,39.842,46.43407454,-5355.3,-5.2106,1.24E-14,5,44.76007454,-7620.6,-4.6279,4.38E-07,2
methanol,1-hexene,1,338,benzene,dimethyl-sulfoxide,101300,0.3,0,357.7395,0,98.9884,71.59407454,-6486.2,-9.2194,6.98E-06,2,44.76007454,-7620.6,-4.6279,4.38E-07,2
1-propanol,1-hexene,1,339,toluene,dimethyl-sulfoxide,101300,0.3,0,539.6392,0,108.923,65.43207454,-6729.8,-8.179,5.30E-06,2,44.76007454,-7620.6,-4.6279,4.38E-07,2
isopropanol,1-hexene,1,340,methanol,1-hexene,101300,0.47,0,634.9806,0,734.9917,71.20507454,-6904.5,-8.8622,7.47E-06,2,40.46407454,-5104.7,-4.3484,1.17E-17,6
methyl-acetate,1-hexene,1,341,1-propanol,1-hexene,101300,0.47,0,235.8241,0,646.9792,73.15107454,-8307.2,-8.5767,7.51E-18,6,40.46407454,-5104.7,-4.3484,1.17E-17,6
ethyl-acetate,1-hexene,1,342,isopropanol,1-hexene,101300,0.3,0,8.5183,0,406.2786,99.20707454,-9040,-12.676,5.54E-06,2,40.46407454,-5104.7,-4.3484,1.17E-17,6
vinyl-acetate,1-hexene,1,343,methyl-acetate,1-hexene,101300,0.3,0,348.9502,0,27.6889,49.75407454,-5618.6,-5.6473,2.11E-17,6,40.46407454,-5104.7,-4.3484,1.17E-17,6
acetone,1-hexene,1,344,ethyl-acetate,1-hexene,101300,0.3,0,170.5985,0,82.9403,55.31107454,-6227.6,-6.41,1.79E-17,6,40.46407454,-5104.7,-4.3484,1.17E-17,6
benzene,1-hexene,0,345,vinyl-acetate,1-hexene,101300,0.3,0,230.3272,0,43.655,45.89307454,-5702.8,-5.0307,1.10E-17,6,40.46407454,-5104.7,-4.3484,1.17E-17,6
toluene,1-hexene,0,346,acetone,1-hexene,101300,0.3,0,152.2697,0,321.8632,46.43407454,-5355.3,-5.2106,1.24E-14,5,40.46407454,-5104.7,-4.3484,1.17E-17,6
n-butanol,n-pentane,0,347,benzene,1-hexene,101300,0.3,0,264.6267,0,-107.2329,71.59407454,-6486.2,-9.2194,6.98E-06,2,40.46407454,-5104.7,-4.3484,1.17E-17,6
1-pentanol,n-pentane,0,348,toluene,1-hexene,101300,0.3,0,52.986,0,25.2199,65.43207454,-6729.8,-8.179,5.30E-06,2,40.46407454,-5104.7,-4.3484,1.17E-17,6
methyl-acetate,n-pentane,1,352,n-butanol,n-pentane,101300,0.47,0,204.2871,0,673.8347,94.77707454,-9866.4,-11.655,1.08E-17,6,67.22807454,-5420.3,-8.8253,9.62E-06,2
cyclohexane,n-pentane,0,353,1-pentanol,n-pentane,101300,0.3,0,42.9533,0,642.8599,103.2370745,-10643,-12.858,1.25E-17,6,67.22807454,-5420.3,-8.8253,9.62E-06,2
cyclohexene,n-pentane,0,354,methyl-acetate,n-pentane,101300,0.3,0,331.2212,0,205.5272,49.75407454,-5618.6,-5.6473,2.11E-17,6,67.22807454,-5420.3,-8.8253,9.62E-06,2
acetone,n-pentane,1,355,cyclohexane,n-pentane,101300,0.3,0,253.7763,0,-175.1913,39.57407454,-5226.4,-4.2278,9.76E-18,6,67.22807454,-5420.3,-8.8253,9.62E-06,2
benzene,n-pentane,0,356,cyclohexene,n-pentane,101300,0.3,0,-81.9062,0,163.1513,76.67107454,-6624.9,-10.059,8.26E-06,2,67.22807454,-5420.3,-8.8253,9.62E-06,2
toluene,n-pentane,0,357,acetone,n-pentane,101300,0.47,-2.232,959.1877,-3.204,1341.8907,46.43407454,-5355.3,-5.2106,1.24E-14,5,67.22807454,-5420.3,-8.8253,9.62E-06,2
diethyl-ether,n-pentane,1,358,benzene,n-pentane,101300,0.3,0,199.0059,0,2.1251,71.59407454,-6486.2,-9.2194,6.98E-06,2,67.22807454,-5420.3,-8.8253,9.62E-06,2
isopropanol,2-methyl-butane,0,359,toluene,n-pentane,101300,0.3,0,-222.3469,0,592.6941,65.43207454,-6729.8,-8.179,5.30E-06,2,67.22807454,-5420.3,-8.8253,9.62E-06,2
2-butanol,2-methyl-butane,0,360,diethyl-ether,n-pentane,101300,0.3,0,90.8137,0,-5.1484,125.3870745,-6954.3,-19.254,0.024508,1,67.22807454,-5420.3,-8.8253,9.62E-06,2
acetone,2-methyl-butane,1,362,isopropanol,2-methyl-butane,101300,0.3,0,232.4854,0,409.5755,99.20707454,-9040,-12.676,5.54E-06,2,59.79507454,-4976,-7.7169,8.73E-06,2
methyl-ethyl-ketone,2-methyl-butane,0,363,2-butanol,2-methyl-butane,101300,0.3,0,168.6353,0,442.6688,111.0370745,-10236,-14.125,2.36E-17,6,59.79507454,-4976,-7.7169,8.73E-06,2
toluene,2-methyl-butane,0,364,acetone,2-methyl-butane,101300,0.3,0,228.8556,0,410.1875,46.43407454,-5355.3,-5.2106,1.24E-14,5,59.79507454,-4976,-7.7169,8.73E-06,2
diethyl-ether,2-methyl-butane,0,365,methyl-ethyl-ketone,2-methyl-butane,101300,0.3,7.8927,-2655.916,35.6822,-10000,73.01707454,-6787.2,-9.2336,9.09E-09,3,59.79507454,-4976,-7.7169,8.73E-06,2
n-pentane,22-dimethyl-propane,0,366,toluene,2-methyl-butane,101300,0.3,9.7278,-3434.1091,-16.132,5828.7593,65.43207454,-6729.8,-8.179,5.30E-06,2,59.79507454,-4976,-7.7169,8.73E-06,2
n-pentane,1-pentene,1,367,diethyl-ether,2-methyl-butane,101300,0.3,0,166.708,0,-87.2353,125.3870745,-6954.3,-19.254,0.024508,1,59.79507454,-4976,-7.7169,8.73E-06,2
ethanol,n-hexane,1,368,n-pentane,22-dimethyl-propane,101300,0.3,0,100.278,0,-79.3929,67.22807454,-5420.3,-8.8253,9.62E-06,2,30.74307454,-3723.2,-3.1133,3.15E-17,6
1-propanol,n-hexane,1,369,n-pentane,1-pentene,101300,0.3,0,-139.4372,0,225.4516,67.22807454,-5420.3,-8.8253,9.62E-06,2,35.48107454,-4289.5,-3.7345,2.54E-17,6
isopropanol,n-hexane,1,370,ethanol,n-hexane,101300,0.47,0,497.8083,0,738.6402,61.79107454,-7122.3,-7.1424,2.89E-06,2,93.13707454,-6995.5,-12.702,1.24E-05,2
n-butanol,n-hexane,1,371,1-propanol,n-hexane,101300,0.3,1.2324,-163.3035,-0.9574,645.1024,73.15107454,-8307.2,-8.5767,7.51E-18,6,93.13707454,-6995.5,-12.702,1.24E-05,2
2-butanol,n-hexane,1,372,isopropanol,n-hexane,101300,0.47,1.0339,-29.2907,15.3204,-4445.6563,99.20707454,-9040,-12.676,5.54E-06,2,93.13707454,-6995.5,-12.702,1.24E-05,2
isobutanol,n-hexane,1,373,n-butanol,n-hexane,101300,0.3,6.9592,-2232.6375,-6.4713,2883.2654,94.77707454,-9866.4,-11.655,1.08E-17,6,93.13707454,-6995.5,-12.702,1.24E-05,2
tert-butanol,n-hexane,1,374,2-butanol,n-hexane,101300,0.3,0,103.4105,0,555.7798,111.0370745,-10236,-14.125,2.36E-17,6,93.13707454,-6995.5,-12.702,1.24E-05,2
1-pentanol,n-hexane,0,375,isobutanol,n-hexane,101300,0.47,0,238.9801,0,576.5729,110.2670745,-10504,-13.921,1.69E-17,6,93.13707454,-6995.5,-12.702,1.24E-05,2
3-methyl-1-butanol,n-hexane,0,376,tert-butanol,n-hexane,101300,0.3,0,56.8436,0,525.1817,160.7570745,-11589,-22.113,1.37E-05,2,93.13707454,-6995.5,-12.702,1.24E-05,2
1-hexanol,n-hexane,0,377,1-pentanol,n-hexane,101300,0.47,0,178.2723,0,625.9238,103.2370745,-10643,-12.858,1.25E-17,6,93.13707454,-6995.5,-12.702,1.24E-05,2
ethyl-acetate,n-hexane,1,378,3-methyl-1-butanol,n-hexane,101300,0.47,0,184.5768,0,624.3008,105.5570745,-10743,-13.165,1.17E-17,6,93.13707454,-6995.5,-12.702,1.24E-05,2
vinyl-acetate,n-hexane,1,379,1-hexanol,n-hexane,101300,0.45,-0.9432,404.812,-0.027,636.4762,123.9070745,-12288,-15.732,1.27E-17,6,93.13707454,-6995.5,-12.702,1.24E-05,2
cyclohexane,n-hexane,0,380,ethyl-acetate,n-hexane,101300,0.3,0,120.1594,0,228.0985,55.31107454,-6227.6,-6.41,1.79E-17,6,93.13707454,-6995.5,-12.702,1.24E-05,2
cyclohexene,n-hexane,0,381,vinyl-acetate,n-hexane,101300,0.3,0,193.1624,0,202.4362,45.89307454,-5702.8,-5.0307,1.10E-17,6,93.13707454,-6995.5,-12.702,1.24E-05,2
acetone,n-hexane,1,382,cyclohexane,n-hexane,101300,0.3,1.2637,-202.3037,-0.9898,167.9446,39.57407454,-5226.4,-4.2278,9.76E-18,6,93.13707454,-6995.5,-12.702,1.24E-05,2
methyl-ethyl-ketone,n-hexane,1,383,cyclohexene,n-hexane,101300,0.3,0,305.8925,0,-176.4088,76.67107454,-6624.9,-10.059,8.26E-06,2,93.13707454,-6995.5,-12.702,1.24E-05,2
diethyl-ketone,n-hexane,0,384,acetone,n-hexane,101300,0.3,0,319.3188,0,279.4613,46.43407454,-5355.3,-5.2106,1.24E-14,5,93.13707454,-6995.5,-12.702,1.24E-05,2
